name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Smithies,LEI,GKP,4.0,Available,0,0,0,0.0,0.1
Faes,LEI,DEF,4.5,Available,810,38,1,4.2,0.3
Braybrooke,LEI,MID,4.5,Available,0,0,0,0.0,0.0
Wormleighton,LEI,DEF,4.0,Available,0,0,0,0.0,0.0
Cooper,LEE,DEF,4.4,Available,675,19,0,2.4,0.1
Ayling,LEE,DEF,4.5,Available,154,8,0,1.1,0.1
Klich,LEE,MID,4.6,Doubtful,188,10,0,0.9,0.1
Forshaw,LEE,MID,4.4,Doubtful,47,3,0,1.0,0.0
Rodrigo,LEE,MID,6.3,Available,886,77,6,5.9,7.9
Dallas,LEE,DEF,4.9,Injured,0,0,0,0.0,0.0
Bamford,LEE,FWD,7.2,Doubtful,425,17,0,1.7,0.4
Llorente,LEE,DEF,4.4,Available,630,15,2,2.1,0.3
Roberts,LEE,MID,5.0,NotAvail,0,0,0,0.0,0.0
Koch,LEE,DEF,4.5,Available,1215,21,0,1.5,0.2
Raphinha,LEE,MID,7.0,NotAvail,0,0,0,0.0,0.1
Harrison,LEE,MID,5.8,Doubtful,937,45,5,3.5,1.9
Shackleton,LEE,MID,4.5,NotAvail,0,0,0,0.0,0.0
Struijk,LEE,DEF,4.5,Available,1164,40,4,3.1,0.8
Klaesson,LEE,GKP,3.9,Available,0,0,0,0.0,0.5
Greenwood,LEE,FWD,4.2,Available,184,15,1,2.5,11.5
Meslier,LEE,GKP,4.5,Available,1260,44,5,3.1,2.3
Firpo,LEE,DEF,4.5,Available,113,2,0,1.0,0.0
Summerville,LEE,MID,4.4,Available,467,40,4,4.0,1.4
Bate,LEE,MID,4.5,NotAvail,0,0,0,0.0,0.0
Gelhardt,LEE,FWD,5.1,Available,161,13,0,1.2,0.2
Hjelde,LEE,DEF,3.9,Available,0,0,0,0.0,0.2
Kristensen,LEE,DEF,4.8,Available,1048,25,0,2.1,0.4
Roca,LEE,MID,4.8,Available,1032,31,1,2.2,0.1
Aaronson,LEE,MID,5.5,Available,1190,42,0,3.0,0.9
Gyabi,LEE,MID,4.3,Available,0,0,0,0.0,0.1
Adams,LEE,MID,4.9,Suspended,1166,23,0,1.8,0.2
Sinisterra,LEE,MID,6.5,Doubtful,450,22,3,2.4,0.3
Drameh,LEE,DEF,4.0,Available,70,1,0,1.0,0.2
Gray,LEE,MID,4.5,Injured,0,0,0,0.0,0.0
Robles,LEE,GKP,4.0,Available,0,0,0,0.0,0.1
Gnonto,LEE,FWD,5.0,Available,108,6,0,2.0,0.1
Mateo Joseph,LEE,FWD,4.5,Available,1,1,0,1.0,0.0
Perkins,LEE,FWD,4.5,Available,0,0,0,0.0,0.0
Milner,LIV,MID,4.4,Available,460,20,0,1.7,0.8
Henderson,LIV,MID,5.3,Available,642,19,0,1.6,0.5
Matip,LIV,DEF,5.9,Available,258,4,0,1.0,0.7
Thiago,LIV,MID,5.2,Available,645,14,0,1.8,0.8
Chamberlain,LIV,MID,4.9,Available,30,3,0,1.0,0.0
Firmino,LIV,FWD,8.1,Available,928,69,9,5.3,7.8
Van Dijk,LIV,DEF,6.5,Available,1260,47,3,3.4,14.1
Alisson,LIV,GKP,5.5,Available,1260,65,7,4.6,16.0
Fabinho,LIV,MID,5.3,Available,994,25,0,1.8,0.9
Salah,LIV,MID,12.8,Available,1237,82,8,5.9,32.2
Robertson,LIV,DEF,6.8,Available,859,43,4,3.6,5.1
Alexander-Arnold,LIV,DEF,7.2,Available,988,40,5,2.9,18.4
Gomez,LIV,DEF,4.5,Available,885,38,5,3.2,2.0
Keita,LIV,MID,4.7,Available,0,0,0,0.0,0.0
Diogo Jota,LIV,FWD,8.8,Doubtful,195,8,0,2.0,0.3
Kelleher,LIV,GKP,4.0,Available,0,0,0,0.0,0.2
Konaté,LIV,DEF,4.8,Available,111,3,0,1.5,0.7
Jones,LIV,MID,4.9,Available,169,5,0,1.2,0.0
Tsimikas,LIV,DEF,4.5,Available,363,22,0,2.2,0.4
Luis Díaz,LIV,MID,7.8,Doubtful,613,39,4,4.9,7.0
Elliott,LIV,MID,5.0,Available,855,34,2,2.4,0.8
Carvalho,LIV,MID,5.4,Available,331,25,0,2.3,0.4
Darwin,LIV,FWD,9.0,Available,601,44,6,4.4,12.1
Ramsay,LIV,DEF,3.9,Available,0,0,0,0.0,0.2
Adrián,LIV,GKP,3.9,Available,0,0,0,0.0,0.7
R.Williams,LIV,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Davies,LIV,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Van den Berg,LIV,DEF,4.0,NotAvail,0,0,0,0.0,0.2
Phillips,LIV,DEF,3.9,Available,65,3,0,1.5,0.4
Chambers,LIV,DEF,4.0,Available,0,0,0,0.0,0.1
Bajcetic,LIV,MID,4.4,Available,20,1,0,1.0,0.0
Clark,LIV,MID,4.5,Available,7,1,0,1.0,0.0
H.Davies,LIV,GKP,4.0,Available,0,0,0,0.0,0.0
Arthur,LIV,MID,4.8,Injured,0,0,0,0.0,0.0
Doak,LIV,MID,4.5,Available,0,0,0,0.0,0.0
Walker,MCI,DEF,4.8,Available,560,23,0,3.3,3.2
Gündogan,MCI,MID,7.3,Available,890,45,3,3.8,2.1
De Bruyne,MCI,MID,12.6,Available,1130,90,13,6.4,37.7
Stones,MCI,DEF,5.4,Available,730,32,3,3.6,1.6
Mahrez,MCI,MID,7.5,Available,368,22,0,2.4,1.4
Grealish,MCI,MID,6.8,Available,546,27,2,3.4,1.1
Cancelo,MCI,DEF,7.4,Available,1116,70,10,5.0,53.8
Ederson,MCI,GKP,5.4,Available,1260,57,3,4.1,13.8
Aké,MCI,DEF,5.0,Available,570,26,1,3.2,0.8
Laporte,MCI,DEF,5.8,Available,285,9,0,2.2,0.4
Steffen,MCI,GKP,4.0,NotAvail,0,0,0,0.0,0.0
Bernardo,MCI,MID,6.9,Available,1067,64,6,4.6,8.1
Dias,MCI,DEF,5.9,Available,871,40,0,3.3,7.8
Foden,MCI,MID,8.3,Available,905,76,6,5.4,21.4
Rodri,MCI,MID,5.6,Available,1122,38,0,2.9,1.5
Palmer,MCI,MID,4.3,Available,99,7,0,1.0,0.1
McAtee,MCI,MID,4.5,NotAvail,0,0,0,0.0,0.0
Haaland,MCI,FWD,12.2,Available,1036,123,19,9.5,82.7
Álvarez,MCI,FWD,6.0,Available,354,32,5,2.7,1.7
Mbete,MCI,DEF,3.9,NotAvail,0,0,0,0.0,0.1
Wilson-Esbrand,MCI,DEF,3.8,Available,0,0,0,0.0,1.0
Delap,MCI,FWD,4.4,NotAvail,0,0,0,0.0,0.2
Ortega,MCI,GKP,3.8,Available,0,0,0,0.0,0.9
Phillips,MCI,MID,4.8,Available,1,1,0,1.0,0.1
Carson,MCI,GKP,3.8,Available,0,0,0,0.0,0.3
Lewis,MCI,DEF,3.9,Available,35,3,0,1.0,0.1
Sergio Gómez,MCI,DEF,4.5,Available,106,7,0,1.4,0.1
Gomes,MCI,MID,4.5,NotAvail,0,0,0,0.0,0.0
Knight,MCI,MID,4.5,Available,0,0,0,0.0,0.0
Akanji,MCI,DEF,5.0,Available,701,30,2,3.8,1.3
Ronaldo,MUN,FWD,10.2,NotAvail,519,20,3,2.0,2.4
De Gea,MUN,GKP,4.9,Available,1260,50,2,3.6,7.2
Jones,MUN,DEF,3.9,Available,0,0,0,0.0,0.7
Varane,MUN,DEF,4.8,Available,684,31,1,3.1,2.1
Maguire,MUN,DEF,4.7,Available,280,5,0,1.2,0.3
Fred,MUN,MID,5.1,Available,392,23,2,2.1,0.4
Shaw,MUN,DEF,4.8,Available,783,30,2,3.0,2.2
Fernandes,MUN,MID,9.8,Available,1169,48,6,3.7,2.2
Telles,MUN,DEF,5.0,NotAvail,0,0,0,0.0,0.0
Rashford,MUN,MID,6.7,Available,1126,62,6,4.4,19.0
Van de Beek,MUN,MID,5.1,Available,83,5,0,1.2,0.2
Lindelöf,MUN,DEF,4.3,Available,350,6,0,1.2,0.1
McTominay,MUN,MID,4.9,Available,635,14,0,1.2,0.2
Bailly,MUN,DEF,4.0,NotAvail,0,0,0,0.0,0.4
Sancho,MUN,MID,7.1,Available,714,40,4,4.0,3.5
Wan-Bissaka,MUN,DEF,4.3,Available,4,1,0,1.0,0.2
Dalot,MUN,DEF,4.8,Available,1165,49,12,3.8,12.4
B.Williams,MUN,DEF,3.8,Doubtful,0,0,0,0.0,1.9
Elanga,MUN,MID,4.7,Available,364,17,0,1.7,0.4
Martial,MUN,FWD,6.7,Available,200,21,1,4.2,2.0
Pellistri,MUN,MID,4.3,Available,0,0,0,0.0,0.0
Heaton,MUN,GKP,3.9,Available,0,0,0,0.0,0.4
Dubravka,MUN,GKP,4.2,Available,0,0,0,0.0,0.4
Malacia,MUN,DEF,4.2,Available,566,20,2,2.2,2.2
Eriksen,MUN,MID,6.3,Available,1043,50,5,3.8,2.9
Martínez,MUN,DEF,4.5,Available,1204,38,1,2.7,7.3
Amad,MUN,MID,4.4,NotAvail,0,0,0,0.0,0.1
Iqbal,MUN,MID,4.3,Available,0,0,0,0.0,0.3
Garnacho,MUN,MID,4.3,Available,83,8,0,2.7,0.7
Casemiro,MUN,MID,4.9,Available,708,30,3,2.7,1.8
Antony,MUN,MID,7.5,Available,492,28,1,4.7,4.5
Kovár,MUN,GKP,4.0,NotAvail,0,0,0,0.0,0.0
Mainoo,MUN,MID,4.5,Available,0,0,0,0.0,0.0
Bishop,MUN,GKP,4.0,Available,0,0,0,0.0,0.0
Shoretire,MUN,FWD,4.5,Available,0,0,0,0.0,0.0
Shelvey,NEW,MID,4.8,Available,34,3,0,1.0,0.0
Ritchie,NEW,DEF,4.2,Doubtful,1,1,0,1.0,0.1
Fernández,NEW,DEF,4.4,NotAvail,0,0,0,0.0,0.0
Clark,NEW,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Darlow,NEW,GKP,3.9,Available,0,0,0,0.0,1.1
Wood,NEW,FWD,5.6,Available,264,22,2,1.6,0.6
Wilson,NEW,FWD,7.4,Available,786,55,3,5.0,8.8
Trippier,NEW,DEF,5.9,Available,1324,96,17,6.4,64.9
Burn,NEW,DEF,4.5,Available,1224,54,1,3.6,1.9
Fraser,NEW,MID,5.2,Available,308,11,0,1.4,0.1
Lascelles,NEW,DEF,4.3,Available,105,2,0,0.8,0.1
Gayle,NEW,FWD,4.5,NotAvail,0,0,0,0.0,0.1
Dummett,NEW,DEF,3.9,Injured,0,0,0,0.0,0.4
Manquillo,NEW,DEF,4.2,Available,10,1,0,1.0,0.1
Krafth,NEW,DEF,4.3,Injured,1,1,0,1.0,0.0
Murphy,NEW,MID,4.3,Available,480,30,1,2.0,3.4
Schär,NEW,DEF,4.9,Available,1244,67,6,4.8,11.6
Targett,NEW,DEF,4.8,Available,420,23,2,2.3,0.7
Saint-Maximin,NEW,MID,6.2,Available,376,33,4,4.7,3.5
Almirón,NEW,MID,5.8,Available,1255,93,9,6.2,35.3
S.Longstaff,NEW,MID,4.4,Available,1052,41,1,2.7,1.7
Joelinton,NEW,MID,5.9,Available,1059,36,0,2.8,0.5
Lewis,NEW,DEF,4.4,Available,7,1,0,1.0,0.0
Willock,NEW,MID,4.9,Available,1113,56,6,3.7,0.6
Bruno Guimarães,NEW,MID,5.7,Available,993,52,3,4.3,4.8
Hendrick,NEW,MID,4.5,NotAvail,0,0,0,0.0,0.0
Pope,NEW,GKP,5.3,Available,1350,70,6,4.7,21.6
Botman,NEW,DEF,4.4,Available,1057,55,4,4.2,3.0
Anderson,NEW,MID,4.4,Available,96,7,0,1.0,0.2
Isak,NEW,FWD,6.6,Doubtful,243,18,4,6.0,1.1
Karius,NEW,GKP,4.0,Available,0,0,0,0.0,0.1
N.Williams,NFO,DEF,4.0,Available,1076,30,1,2.0,23.6
Arter,NFO,MID,4.2,Available,0,0,0,0.0,0.2
Cook,NFO,DEF,4.4,Available,956,20,0,1.7,0.1
Lyle Taylor,NFO,FWD,4.2,Available,0,0,0,0.0,4.9
Colback,NFO,MID,4.2,Available,144,5,0,1.2,0.7
Samba,NFO,GKP,4.5,NotAvail,0,0,0,0.0,0.0
Cafú,NFO,MID,4.3,Available,6,1,0,1.0,0.4
Lolley,NFO,MID,4.9,NotAvail,0,0,0,0.0,0.0
McKenna,NFO,DEF,4.4,Available,1260,24,0,1.7,0.1
Dräger,NFO,DEF,4.0,NotAvail,0,0,0,0.0,0.1
Yates,NFO,MID,5.0,Available,1032,30,0,2.3,0.0
Worrall,NFO,DEF,4.2,Available,713,18,2,1.6,0.1
Panzo,NFO,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Xande Silva,NFO,MID,5.0,NotAvail,0,0,0,0.0,0.0
Surridge,NFO,FWD,4.7,Available,131,8,0,1.0,0.8
Laryea,NFO,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Mbe Soh,NFO,DEF,4.2,Available,0,0,0,0.0,0.0
Johnson,NFO,FWD,5.6,Available,1186,38,4,2.5,0.8
Mighten,NFO,MID,4.9,NotAvail,7,1,0,1.0,0.0
Ojeda,NFO,MID,4.5,NotAvail,0,0,0,0.0,0.0
Awoniyi,NFO,FWD,5.7,Available,505,37,6,2.8,0.7
Henderson,NFO,GKP,4.7,Available,1350,67,11,4.5,12.5
Biancone,NFO,DEF,4.2,Injured,15,2,0,1.0,0.0
Boly,NFO,DEF,4.2,Available,153,8,2,4.0,0.2
Gibbs-White,NFO,MID,5.5,Available,1215,55,7,3.7,0.4
Niakhaté,NFO,DEF,4.3,Injured,160,7,0,3.5,0.0
Richards,NFO,DEF,4.4,Doubtful,0,0,0,0.0,0.0
Hennessey,NFO,GKP,3.9,Available,0,0,0,0.0,1.8
Toffolo,NFO,DEF,4.3,Injured,576,17,1,2.1,0.1
O'Brien,NFO,MID,4.8,Available,521,20,0,1.8,0.0
Lingard,NFO,MID,5.4,Available,806,29,0,2.2,1.5
Mangala,NFO,MID,4.9,Available,263,11,0,1.6,0.0
Hammond,NFO,MID,4.3,Available,0,0,0,0.0,0.0
Freuler,NFO,MID,4.9,Available,830,21,0,1.9,0.0
Kouyaté,NFO,MID,4.5,Available,701,27,2,2.2,0.2
Dennis,NFO,FWD,5.8,Available,339,19,2,2.1,0.2
Renan Lodi,NFO,DEF,4.3,Available,503,8,0,1.1,0.1
Badé,NFO,DEF,4.5,Available,0,0,0,0.0,0.0
Aurier,NFO,DEF,4.5,Available,530,22,2,3.1,0.1
Dale Taylor,NFO,FWD,4.5,Available,0,0,0,0.0,0.0
Maitland-Niles,SOU,MID,4.8,Available,410,10,0,1.4,0.0
Lavia,SOU,MID,4.5,Available,556,15,0,2.1,0.2
Walcott,SOU,MID,4.8,Available,112,3,0,1.0,0.0
McCarthy,SOU,GKP,4.3,Available,0,0,0,0.0,0.2
Romeu,SOU,MID,4.8,NotAvail,74,2,0,2.0,0.0
Redmond,SOU,MID,5.3,NotAvail,1,1,0,1.0,0.0
S.Armstrong,SOU,MID,4.7,Available,682,25,2,1.8,0.1
Elyounoussi,SOU,MID,5.2,Available,983,27,0,1.9,0.1
Ward-Prowse,SOU,MID,6.2,Available,1350,44,4,2.9,4.7
A.Armstrong,SOU,FWD,5.5,Available,867,33,3,2.4,0.9
Walker-Peters,SOU,DEF,4.4,Doubtful,953,24,0,2.2,0.7
Adams,SOU,FWD,6.4,Available,1064,50,5,3.6,1.0
Tella,SOU,MID,5.0,NotAvail,0,0,0,0.0,0.0
Lyanco,SOU,DEF,4.4,Available,231,7,0,1.0,0.0
Valery,SOU,DEF,4.0,NotAvail,45,0,0,0.0,0.4
Smallbone,SOU,MID,4.5,NotAvail,0,0,0,0.0,0.0
Diallo,SOU,MID,4.3,Available,448,11,0,1.2,0.4
Perraud,SOU,DEF,4.4,Available,848,43,5,3.3,0.5
Djenepo,SOU,MID,5.0,Available,522,18,0,1.8,0.1
Livramento,SOU,DEF,4.4,Injured,0,0,0,0.0,0.0
Salisu,SOU,DEF,4.4,Available,1260,23,2,1.6,0.2
Lis,SOU,GKP,4.0,NotAvail,0,0,0,0.0,0.2
Bazunu,SOU,GKP,4.5,Available,1350,34,0,2.3,0.7
Bella-Kotchap,SOU,DEF,4.5,Available,904,17,0,1.5,0.2
Caballero,SOU,GKP,3.9,Available,0,0,0,0.0,0.9
Aribo,SOU,MID,5.2,Available,941,38,3,2.5,0.4
Mara,SOU,FWD,5.3,Available,207,12,0,1.3,0.1
Larios,SOU,DEF,4.0,Doubtful,150,4,0,0.8,0.1
Caleta-Car,SOU,DEF,4.5,Available,484,14,2,2.0,0.0
Edozie,SOU,MID,4.7,Available,150,8,0,1.0,0.0
Payne,SOU,MID,4.5,Available,0,0,0,0.0,0.0
Finnigan,SOU,MID,4.5,Available,0,0,0,0.0,0.0
Lloris,TOT,GKP,5.5,Available,1350,55,7,3.7,5.0
Forster,TOT,GKP,3.9,Available,0,0,0,0.0,3.9
Kane,TOT,FWD,11.6,Available,1336,102,21,6.8,27.3
Son,TOT,MID,11.6,Available,1030,53,3,4.1,5.9
Doherty,TOT,DEF,4.6,Available,347,18,0,2.2,0.5
Dier,TOT,DEF,5.2,Available,1284,50,1,3.3,8.9
Lucas Moura,TOT,MID,5.8,Available,93,8,0,1.0,0.2
Davies,TOT,DEF,4.9,Available,994,48,0,4.0,1.2
Højbjerg,TOT,MID,5.5,Available,1244,58,6,4.1,2.4
Winks,TOT,MID,4.4,NotAvail,0,0,0,0.0,0.7
Sánchez,TOT,DEF,4.3,Available,527,19,1,1.9,0.6
R.Sessegnon,TOT,DEF,4.5,Doubtful,658,31,0,2.6,0.9
Bergwijn,TOT,MID,5.5,NotAvail,0,0,0,0.0,0.0
Reguilón,TOT,DEF,4.2,NotAvail,0,0,0,0.0,0.4
Tanganga,TOT,DEF,3.9,Available,0,0,0,0.0,2.9
Bentancur,TOT,MID,5.4,Suspended,1183,59,7,4.2,0.5
Skipp,TOT,MID,4.3,Available,128,6,0,1.0,0.1
Rodon,TOT,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Romero,TOT,DEF,4.9,Available,657,21,2,2.6,1.3
Bissouma,TOT,MID,4.7,Available,598,17,0,1.2,0.3
Emerson Royal,TOT,DEF,4.9,Available,898,27,1,2.2,1.9
Kulusevski,TOT,MID,8.0,Available,609,41,3,4.6,4.7
Scarlett,TOT,FWD,4.5,NotAvail,0,0,0,0.0,0.0
Perišić,TOT,DEF,5.5,Available,827,45,5,3.0,21.7
White,TOT,MID,4.4,Available,0,0,0,0.0,0.4
Sarr,TOT,MID,4.3,Available,0,0,0,0.0,0.6
Austin,TOT,GKP,3.9,Available,0,0,0,0.0,0.3
Devine,TOT,MID,4.3,Available,0,0,0,0.0,0.1
Parrott,TOT,FWD,4.5,NotAvail,0,0,0,0.0,0.1
Richarlison,TOT,FWD,8.4,Available,434,21,1,2.1,0.7
Lenglet,TOT,DEF,4.8,Available,570,12,1,1.5,0.3
Spence,TOT,DEF,4.1,Available,3,3,0,1.0,0.2
Bryan,TOT,MID,5.0,Available,6,1,0,1.0,0.0
Fabianski,WHU,GKP,5.0,Available,1243,59,7,3.9,1.3
Ogbonna,WHU,DEF,4.4,Available,25,2,0,1.0,0.1
Cresswell,WHU,DEF,4.8,Available,1241,37,3,2.6,2.5
Antonio,WHU,FWD,7.0,Available,602,32,3,2.3,1.6
Dawson,WHU,DEF,4.8,Available,450,13,0,2.6,0.2
Lanzini,WHU,MID,5.1,Available,121,5,0,1.0,0.1
Zouma,WHU,DEF,4.5,Available,1184,47,6,3.4,2.1
Masuaku,WHU,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Coufal,WHU,DEF,4.1,Available,683,20,0,2.2,0.7
Benrahma,WHU,MID,5.6,Available,745,34,0,2.6,0.9
Bowen,WHU,MID,8.0,Available,1341,47,3,3.1,3.0
Vlasic,WHU,MID,5.0,NotAvail,0,0,0,0.0,0.0
Rice,WHU,MID,4.8,Available,1350,45,5,3.0,3.7
Soucek,WHU,MID,5.2,Available,1307,43,3,2.9,0.8
Fornals,WHU,MID,5.0,Available,776,32,3,2.3,0.5
Johnson,WHU,DEF,4.4,Available,487,16,1,2.3,0.1
Aguerd,WHU,DEF,4.8,Available,75,2,0,2.0,0.1
Areola,WHU,GKP,4.3,Available,106,2,0,1.0,1.0
Downes,WHU,MID,4.3,Available,264,10,0,1.7,0.4
Scamacca,WHU,FWD,6.7,Available,750,30,5,2.3,1.7
Emerson,WHU,DEF,4.0,Available,221,6,0,0.9,1.7
Ashby,WHU,DEF,3.9,Available,0,0,0,0.0,0.4
Coventry,WHU,MID,4.4,Available,1,1,0,1.0,0.1
Randolph,WHU,GKP,4.0,Available,0,0,0,0.0,0.1
Oko-Flex,WHU,MID,4.4,NotAvail,0,0,0,0.0,0.0
Cornet,WHU,MID,5.9,Doubtful,85,5,0,1.0,0.1
Kehrer,WHU,DEF,4.5,Available,1170,33,2,2.5,0.3
Paquetá,WHU,MID,5.9,Available,588,23,3,2.9,0.5
Jiménez,WOL,FWD,6.8,Available,211,5,0,1.7,0.2
Jonny,WOL,DEF,4.4,Doubtful,979,31,0,2.6,0.6
Sá,WOL,GKP,5.0,Available,1350,61,6,4.1,5.8
Neves,WOL,MID,5.5,Available,1260,56,10,4.0,1.7
Hwang,WOL,MID,5.7,Available,317,16,0,1.5,0.1
Semedo,WOL,DEF,5.0,Available,675,13,1,1.0,0.3
Podence,WOL,MID,5.3,Available,1017,44,6,2.9,0.8
Kilman,WOL,DEF,4.4,Available,1350,41,4,2.7,2.2
Cundle,WOL,MID,4.4,NotAvail,0,0,0,0.0,0.2
Neto,WOL,MID,4.9,Injured,600,18,0,2.2,1.9
Aït-Nouri,WOL,DEF,4.2,Available,664,23,0,2.3,0.9
Fabio Silva,WOL,FWD,5.5,NotAvail,0,0,0,0.0,0.0
Toti,WOL,DEF,3.9,Available,259,8,1,2.7,1.5
Chiquinho,WOL,MID,5.0,Injured,0,0,0,0.0,0.0
Adama,WOL,MID,5.5,Available,615,27,0,2.2,0.3
Šarkić,WOL,GKP,3.9,Available,0,0,0,0.0,1.9
Mosquera,WOL,DEF,3.9,Available,0,0,0,0.0,1.2
Moutinho,WOL,MID,4.7,Available,996,24,0,1.8,0.4
Collins,WOL,DEF,4.4,Available,1022,29,6,2.4,0.7
Smith,WOL,GKP,3.9,Available,0,0,0,0.0,0.8
Bueno,WOL,DEF,3.9,Available,451,10,2,1.7,2.5
Hodge,WOL,MID,4.4,Available,78,2,0,0.7,0.0
Ronan,WOL,MID,4.4,Available,1,1,0,1.0,0.1
Campbell,WOL,MID,4.4,Available,68,5,0,1.0,0.4
Guedes,WOL,MID,5.9,Available,686,28,1,2.3,0.2
Matheus,WOL,MID,4.8,Available,858,29,3,2.4,0.1
Kalajdžić,WOL,FWD,5.3,Injured,45,1,0,1.0,0.0
Diego Costa,WOL,FWD,5.5,Available,412,7,0,1.2,0.3
Traoré,WOL,MID,4.5,Available,380,12,0,1.5,0.1
Fraser,WOL,FWD,4.5,Available,0,0,0,0.0,0.0
Griffiths,WOL,MID,4.5,Available,0,0,0,0.0,0.0
Lembikisa,WOL,DEF,4.0,Available,22,1,0,1.0,0.0
